other_links.entity_id	Full name	First name	Last name	Knowledge Network	SocialPolitical Network	Religious Network	Gender	AuthorEditor Network	Language Network	Column
46695.0	Fabio Albergati	Fabio	Albergati			Catholic,Catholic_clergy,Catholic_clergy_jesuit	Male	Author	italian	
46696.0	Pope (Fabio Chigi) Alexander VII	Pope (Fabio Chigi)	Alexander VII	poetry	elite,government,government_leadership,government_major ruling family,nobility	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male	Author	latin, italian	
46697.0	Michele d' Asquier	Michele d'	Asquier		professional,professional_interpreter	Catholic	Male		italian	
46698.0	Duke of Braunschweig-Lüneburg August	Duke of Braunschweig-Lüneburg	August		elite,government,government_leadership,government_major ruling family,nobility	Protestant	Male		latin, german	
46699.0	Girolamo Boncompagni	Girolamo	Boncompagni		elite,government,government_leadership,nobility	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male	Author	italian	
46700.0	Gaspar de Peñaranda (Guzmán) de Bracamonte	Gaspar de	Peñaranda (Guzmán) de Bracamonte		elite,government,government_leadership,nobility	Catholic	Male		spanish	
46701.0	Francesco Maria Brancacci	Francesco Maria	Brancacci	religion	elite,government,government_leadership,nobility	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male	Author	italian, latin	
46702.0	Juan Caramuel Lobkowic	Juan	Caramuel Lobkowic	poetry,natural philosophy,antiquarianism,religion,other	elite,government,government_leadership,nobility	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male	Author	latin, kircher's universal language, spanish,hebrew, italian, german, czech,french,arabic	
46703.0	Karl Kaspar von der Leyen	Karl Kaspar von der	Leyen		elite,government,government_leadership,government_major ruling family,nobility	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male		latin	
46705.0	Duke of Schleswig-Holstein Christian August	Duke of Schleswig-Holstein	Christian August		elite,government,government_leadership,government_major ruling family,nobility	Protestant	Male		italian, latin	
46706.0	Queen of Sweden Christina	Queen of Sweden	Christina		elite,government,government_leadership,government_major ruling family,nobility	Catholic,Catholic_convert	Female	Author	italian, german	
46707.0	Carlo Conti	Carlo	Conti		elite,government,government_leadership,nobility	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male		latin, italian	
46708.0	Princess of Lichtenstein Dorothea	Princess of Lichtenstein	Dorothea		elite,government,government_leadership,government_major ruling family,nobility	Catholic	Female		german	
46709.0	Johann Eissert	Johann	Eissert		clergy,clergy_jesuit	Catholic,Catholic_clergy,Catholic_clergy_jesuit	Male		latin	
46710.0	Duke of Savoy Carlo Emanuele II	Duke of Savoy	Carlo Emanuele II		elite,government,government_leadership,government_major ruling family,nobility	Catholic	Male		italian	
46711.0	Ernst Adalbert von Harrach	Ernst Adalbert von	Harrach		elite,government,government_leadership,nobility	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male	Author	latin	
46712.0	Johann Heinrich von Kielmannseck	Johann Heinrich von	Kielmannseck		elite,government,government_leadership,nobility	Catholic	Male		latin	
46713.0	Cesare Facchinetti	Cesare	Facchinetti		elite,government,government_leadership,nobility	Catholic,Catholic_clergy,Catholic_clergy_leadership	Male	Author	italian	
46714.0	Prince of Lichtenstein Ferdinand Johann	Prince of Lichtenstein	Ferdinand Johann		elite,government,government_leadership,government_major ruling family,nobility	Catholic	Male		italian, latin, german	
