Book	Chapter	Place	Publication Year	Dedicated to
Ars Magnesia		WŸrzburg	1631.0	Frantz von Hatzfeld
Primitiae Gnomonicae Catoptricae		Avignon	1635.0	Jean De Cambis
Primitiae Gnomonicae Catoptricae		Avignon	1635.0	D. D'Orsan
Primitiae Gnomonicae Catoptricae		Avignon	1635.0	D. De Lagnes
Primitiae Gnomonicae Catoptricae		Avignon	1635.0	Bartholomaeo Siffredy
Primitiae Gnomonicae Catoptricae		Avignon	1635.0	Petro Carre
Primitiae Gnomonicae Catoptricae		Avignon	1635.0	Claudio Sylvestro
Prodromus coptus		Rome	1636.0	Cardinal Francesco Barberini
Specula Melitensis		Naples	1638.0	Giovanni de Lascaris
Magnes		Rome	1641.0	Holy Roman Emperor Ferdinand III
Lingua Aegyptiace Restituta		Rome	1643.0	Holy Roman Emperor Ferdinand III
Ars Magna Lucis et Umbrae		Rome	1646.0	Archduke Ferdinad von Habsburg
Musurgia Universalis		Rome	1650.0	Archduke of Austria Leopold Wilhelm
Obeliscus Pamphilius		Rome	1650.0	Pope Innocent X.
Oedipus Aegyptiacus I		Rome	1652.0	Holy Roman Emperor Ferdinand III
Oedipus Aegyptiacus II		Rome	1653.0	Holy Roman Emperor Ferdinand III
Oedipus Aegyptiacus II	Classis 1-2	Rome	1653.0	Holy Roman Emperor Ferdinand III
Oedipus Aegyptiacus II	Classis 3	Rome	1653.0	Count Johann Maximilian Lamberg
Oedipus Aegyptiacus II	Classis 4	Rome	1653.0	Count Bernhard Ignaz von Martinitz
Oedipus Aegyptiacus II	Classis 1	Rome	1647.0	Francesco Albici
Oedipus Aegyptiacus II	Classis 0	Rome	1648.0	Philippo Quadagnolo
Oedipus Aegyptiacus II	Classis 1	Rome	1649.0	Bartholomeo a Pettorano
Oedipus Aegyptiacus II	Classis 2	Rome	1650.0	Ludovico Maraccio
Oedipus Aegyptiacus II	Classis 3	Rome	1651.0	Gianbattista Giattino
Oedipus Aegyptiacus II	Classis 4	Rome	1652.0	Abrahamo Ecchellensi
Oedipus Aegyptiacus II	Classis 5	Rome	1653.0	Antonio Aquilano
Oedipus Aegyptiacus II	Classis 6	Rome	1653.0	Bishop Stanislaus Pstrokonski
Oedipus Aegyptiacus II	Classis 7	Rome	1653.0	Prince of Lichtenstein Ferdinand Johann
Oedipus Aegyptiacus II	Classis 7	Rome	1653.0	Johann Gans
Oedipus Aegyptiacus II	Classis 7	Rome	1653.0	Duke Johann Friedrich of Braunschweig-Lÿneburg
Oedipus Aegyptiacus II	Classis 7	Rome	1653.0	count Johann Weickard von Auersperg
Oedipus Aegyptiacus II	Classis 8	Rome	1653.0	Archbishop Georg Lippay
Oedipus Aegyptiacus II	Classis 9	Rome	1653.0	Archbishop Johann Philipp von Schšnborn
Oedipus Aegyptiacus II	Classis 10	Rome	1653.0	Ferdinad II. Medici
Oedipus Aegyptiacus II	Classis 11	Rome	1653.0	Cardinal Friedrich von Hessen
Oedipus Aegyptiacus II	Classis 12	Rome	1653.0	Cardinal Fabio Chigi
Oedipius Aegyptiacus III		Rome	1654.0	Holy Roman Emperor Ferdinand III
Oedipius Aegyptiacus III	Syntagma 1	Rome	1654.0	Archduke of Austria Leopold Wilhelm
