ID	Book	Place	Publication Year	Dedicatee
100	Ars Magnesia	WÙrzburg	1631	Frantz von Hatzfeld
101	Primitiae Gnomonicae Catoptricae	Avignon	1635	Jean De Cambis
102	Primitiae Gnomonicae Catoptricae	Avignon	1635	D. D'Orsan
103	Primitiae Gnomonicae Catoptricae	Avignon	1635	D. De Lagnes
104	Primitiae Gnomonicae Catoptricae	Avignon	1635	Bartholomaeo Siffredy
105	Primitiae Gnomonicae Catoptricae	Avignon	1635	Petro Carre
106	Primitiae Gnomonicae Catoptricae	Avignon	1635	Claudio Sylvestro
107	Prodromus coptus	Rome	1636	Cardinal Francesco Barberini
108	Specula Melitensis	Naples	1638	Giovanni de Lascaris
109	Magnes	Rome	1641	Holy Roman Emperor Ferdinand III
110	Lingua Aegyptiace Restituta	Rome	1643	Holy Roman Emperor Ferdinand III
111	Ars Magna Lucis et Umbrae	Rome	1646	Archduke Ferdinad von Habsburg
112	Musurgia Universalis	Rome	1650	Archduke of Austria Leopold Wilhelm
113	Obeliscus Pamphilius	Rome	1650	Pope Innocent X.
114	Oedipus Aegyptiacus I	Rome	1652	Holy Roman Emperor Ferdinand III
115	Oedipus Aegyptiacus II	Rome	1653	Holy Roman Emperor Ferdinand III
116	Oedipus Aegyptiacus II_Classis 1	Rome	1653	Holy Roman Emperor Ferdinand III
116	Oedipus Aegyptiacus II_Classis 2	Rome	1653	Holy Roman Emperor Ferdinand III
117	Oedipus Aegyptiacus II_Classis 3	Rome	1653	Count Johann Maximilian Lamberg
118	Oedipus Aegyptiacus II_Classis 4	Rome	1653	Count Bernhard Ignaz von Martinitz
119	Oedipus Aegyptiacus II_Classis 1	Rome	1647	Francesco Albici
120	Oedipus Aegyptiacus II_Classis 0	Rome	1648	Philippo Quadagnolo
121	Oedipus Aegyptiacus II_Classis 1	Rome	1649	Bartholomeo a Pettorano
122	Oedipus Aegyptiacus II_Classis 2	Rome	1650	Ludovico Maraccio
123	Oedipus Aegyptiacus II_Classis 3	Rome	1651	Gianbattista Giattino
124	Oedipus Aegyptiacus II_Classis 4	Rome	1652	Abrahamo Ecchellensi
125	Oedipus Aegyptiacus II_Classis 5	Rome	1653	Antonio Aquilano
126	Oedipus Aegyptiacus II_Classis 6	Rome	1653	Bishop Stanislaus Pstrokonski
127	Oedipus Aegyptiacus II_Classis 7	Rome	1653	Prince of Lichtenstein Ferdinand Johann
128	Oedipus Aegyptiacus II_Classis 7	Rome	1653	Johann Gans
129	Oedipus Aegyptiacus II_Classis 7	Rome	1653	Duke Johann Friedrich of Braunschweig-LØneburg
130	Oedipus Aegyptiacus II_Classis 7	Rome	1653	count Johann Weickard von Auersperg
131	Oedipus Aegyptiacus II_Classis 8	Rome	1653	Archbishop Georg Lippay
132	Oedipus Aegyptiacus II_Classis 9	Rome	1653	Archbishop Johann Philipp von Sch_nborn
133	Oedipus Aegyptiacus II_Classis 10	Rome	1653	Ferdinad II. Medici
134	Oedipus Aegyptiacus II_Classis 11	Rome	1653	Cardinal Friedrich von Hessen
135	Oedipus Aegyptiacus II_Classis 12	Rome	1653	Cardinal Fabio Chigi
136	Oedipius Aegyptiacus III	Rome	1654	Holy Roman Emperor Ferdinand III
137	Oedipius Aegyptiacus III_Syntagma 1	Rome	1654	Archduke of Austria Leopold Wilhelm
138	Oedipius Aegyptiacus III_Syntagma 2	Rome	1654	Holy Roman Emperor Ferdinand III
139	Oedipius Aegyptiacus III_Syntagma 3	Rome	1654	King Ferdinand IV.
140	Oedipius Aegyptiacus III_Syntagma 4	Rome	1654	Archduke Leopold Ignaz von Habsburg
141	Oedipius Aegyptiacus III_Syntagma 5	Rome	1654	Cardinal Francesco Barberini
142	Oedipius Aegyptiacus III_Syntagma 6	Rome	1654	Cardinal Antonio Barberini
143	Oedipius Aegyptiacus III_Syntagma 7	Rome	1654	Mattias  and Leopold de Medici
144	Oedipius Aegyptiacus III_Syntagma 8	Rome	1654	Abbot Joachim von Gravenegg
145	Oedipius Aegyptiacus III_Syntagma 9	Rome	1654	Bishop Joseph Maria Suarez
146	Oedipius Aegyptiacus III_Syntagma 10	Rome	1654	Cardinal Giancarlo de' Medici
147	Oedipius Aegyptiacus III_Syntagma 11	Rome	1654	Cardinal Rapaccioli
148	Oedipius Aegyptiacus III_Syntagma 12	Rome	1654	Count Lazarus von Henckel
149	Oedipius Aegyptiacus III_Syntagma 13	Rome	1654	Giovanni Nardi and Jan Marcus Marci of Kronland
150	Oedipius Aegyptiacus III_Syntagma 14	Rome	1654	Cardinal Francesco Maria Brancacci
151	Oedipius Aegyptiacus III_Syntagma 15	Rome	1654	Cardinal Spada
152	Oedipius Aegyptiacus III_Syntagma 16	Rome	1654	Cassiano and Carlo Dal Pozzo
153	Oedipius Aegyptiacus III_Syntagma 17	Rome	1654	Vicenzo Fano
154	Oedipius Aegyptiacus III_Syntagma 18	Rome	1654	Cardinal Ernst Adalbert von Harrach
155	Oedipius Aegyptiacus III_Syntagma 19	Rome	1654	Barthold Nihus
156	Oedipius Aegyptiacus III_Syntagma 20	Rome	1654	Count Franz von Nadasd
157	Anacephaleosis	Rome	1654	Lucas Holstenius and Leone Allacci
158	Itinerarium Extaticum	Rome	1656	Queen of Sweden Christina
159	Iter Extaticum II	Rome	1657	King of Bohemia and Hungary Leopold
160	Scrutinuum Pestis	Rome	1658	Pope Alexander VII.
161	De Prodigiosis Crucibus	Rome	1661	Archduke of Austria Leopold Wilhelm
162	Polygraphia Nova	Rome	1663	Holy Roman Emperor Leopold I
163	Mundus Subterraneus	Amsterdam	1665	Pope Alexander VII.
164	Historia Eustachio-Mariana	Rome	1665	Giovanni Nicolo Conti
165	Arithmologia	Rome	1665	Count Franz von Nadasd
166	Iter Cometae	Rome	1665	Duke August of Braunschweig-LÙneburg 
167	Interpretation Hieroglyphica	Rome	1666	Pope Alexander VII.
168	China Illustrata 1667	Amsterdam	1667	 Holy Roman Emperor Leopold I
169	China Illustrata 1667	Antverp	1667	 Holy Roman Emperor Leopold I
170	China Illustrata 1667	Antverp	1667	Giovanni Paolo Oliva
171	China Illustrata 1667	Amsterdam	1667	Giovanni Paolo Oliva
172	Magneticum Naturae Regnum	Rome	1667	Alessandro Fabiano
173	Ars Magna Sciendi	Amsterdam	1669	Holy Roman Emperor Leopold I
174	Latium	Amsterdam	1671	Pope Clement X.
175	Archetypon Politicum	Amsterdam	1675	Antonio Juan Centellas
176	Phonurgia Nova	Kempten	1673	Holy Roman Emperor Leopold I
177	Arca Noe	Amsterdam	1675	King Charles II of Spain
178	Sphinx Mystagoga	Amsterdam	1676	Archbishop Camille de Neufville de Villeroy
179	Museum Celeberrimus	Amsterdam	1678	Count Johann Marcus Georg
180	Turis Babel	Amsterdam	1679	Holy Roman Emperor Leopold I
181	Tariffa Kircheriana I	Rome	1679	Livius Odescalchi
182	Tariffa Kircheriana II	Rome	1679	Livius Odescalchi
