documentid,title,doc_type,subject,language,,author_ln,author_fn,author_occupation,,recipient_fn,recipient_ln,recipient_occupation,source_location,source_lat,source_long,sent_yr,,,,,,
2233,"Francesco Abegra to Kircher, Leobii, 23 November 1676",letter,,Latin,214,Abegra,Francesco,Jesuit (S.J.),51,Kircher,Athanasius,Jesuit (S.J.),Leobii,42.5560,-5.8987,1676,0,23,16,,,
2067,"Agostino de Agostini to Leon de Zuñiga, Puig, 21 February 1666",letter,,Spanish,216,Agostini,Agostino de,,929,Zuñiga,Leon de,,Puig,39.5902,-0.3021,1666,0,21,16,,,
1342,"Francesco Agricoletti to Kircher, Gastein, D. u. Bad, 31 May 1672",letter,,Latin,218,Agricoletti,Francesco,,51,Kircher,Athanasius,Jesuit (S.J.),"Gastein, D. u. Bad",47.1143,13.1360,1672,0,31,16,,,
1155,"Francesco Agricoletti to Kircher, Gastein, D. u. Bad, 10 November 1671",letter,,Latin,218,Agricoletti,Francesco,,51,Kircher,Athanasius,Jesuit (S.J.),"Gastein, D. u. Bad",47.1143,13.1360,1671,0,10,16,,,
1090,"Francesco Agricoletti to Kircher, Granada, 29 April 1669",letter,,Italian,218,Agricoletti,Francesco,,51,Kircher,Athanasius,Jesuit (S.J.),Granada,37.0813,-3.2584,1669,0,29,16,,,
1194,"Francesco Agricoletti to Kircher, Pentecost [between 10 May-13 June], no place, no year.",letter,,Latin,218,Agricoletti,Francesco,,51,Kircher,Athanasius,Jesuit (S.J.),no place given,0.0000,0.0000,0,0,,16,,,
1140,"Francesco Agricoletti to Kircher, Vasti in Asprusio, 20 September 1670",letter,,Latin,218,Agricoletti,Francesco,,51,Kircher,Athanasius,Jesuit (S.J.),Vasti in Asprusio,41.9029,12.4534,1670,0,20,16,,,
1144,"Karl Gottlieb von Aichlpichl to Kircher, Sayn, 27 August 1670",letter,,Latin,219,Aichlpichl,Karl Gottlieb von,,51,Kircher,Athanasius,Jesuit (S.J.),Sayn,33.3478,64.2942,1670,0,27,16,,,
1280,"Adam Aigenler to Kircher, Ingolstadt, 17 November 1671",letter,,Latin,220,Aigenler,Adam,Jesuit (S.J.),51,Kircher,Athanasius,Jesuit (S.J.),Ingolstadt,48.7621,11.4254,1671,0,17,16,,,
1298,"Adam Aigenler to Kircher, Ingolstadt, 4 March 1671",letter,,Latin,220,Aigenler,Adam,Jesuit (S.J.),51,Kircher,Athanasius,Jesuit (S.J.),Ingolstadt,48.7621,11.4254,1671,0,4,16,,,
2154,"Adam Aigenler to Kircher, Lisbon, 10 March 1673",letter,,Latin,220,Aigenler,Adam,Jesuit (S.J.),51,Kircher,Athanasius,Jesuit (S.J.),Lisbon,38.7071,-9.1355,1673,0,10,16,,,
1332,"Adam Aigenler to Kircher, Lisbon, 11 April 1670",letter,,Latin,220,Aigenler,Adam,Jesuit (S.J.),51,Kircher,Athanasius,Jesuit (S.J.),Lisbon,38.7071,-9.1355,1670,0,11,16,,,
448,"Fabio Albergati to Kircher, Florence, 25 May 1660",letter,"printing,Florence,books",Italian,10,Albergati,Fabio,Jesuit (S.J.),51,Kircher,Athanasius,Jesuit (S.J.),Florence,43.7687,11.2569,1660,0,25,16,,,
2698,"Bartolomeo Alberti to Kircher, Almansa, 8 August 1634",letter,,Latin,221,Alberti,Bartolomeo,Jesuit (S.J.),51,Kircher,Athanasius,Jesuit (S.J.),Almansa,38.8694,-1.0975,1634,0,8,16,,,
2555,"Bartolomeo Alberti to Kircher, Castilia, 30 July 1645",letter,,Latin,221,Alberti,Bartolomeo,Jesuit (S.J.),51,Kircher,Athanasius,Jesuit (S.J.),Castilia,41.3833,-4.4500,1645,0,30,16,,,
2697,"Bartolomeo Alberti to Kircher, Villagarcía, 12 April 1647",letter,,Latin,221,Alberti,Bartolomeo,Jesuit (S.J.),51,Kircher,Athanasius,Jesuit (S.J.),Villagarcía,54.6894,25.2800,1647,0,12,16,,,
2714,"Francesco Alberto to Kircher, Naxos, 23 April 1650",letter,,Italian,985,Alberto,Francesco,Jesuit (S.J.),51,Kircher,Athanasius,Jesuit (S.J.),Naxos,37.1068,25.3756,1650,0,23,16,,,
1197,"Orazio Albizzi to Kircher, Volterra, 6 November 1661",letter,,Italian,223,Albizzi,Orazio,Bishop of Volterra,51,Kircher,Athanasius,Jesuit (S.J.),Volterra,43.4014,10.8611,1661,0,6,16,,,
2492,"Franz Albrecht to Kircher, Sciro, 27 January 1638",letter,,"Italian,Greek,German",222,Albrecht,Franz,Jesuit (S.J.),51,Kircher,Athanasius,Jesuit (S.J.),Sciro,-13.9116,20.7904,1638,0,27,16,,,
499,"Alexander VII, Pope (Fabio Chigi) to Kircher, Aachen, 11 February 1651",letter,,Latin,11,Alexander VII,Pope (Fabio Chigi),"Pope,Bishop of Nardò",51,Kircher,Athanasius,Jesuit (S.J.),Aachen,50.7755,6.0815,1651,0,11,16,,,
501,"Alexander VII, Pope (Fabio Chigi) to Kircher, Aachen, 1 April 1651",letter,,Latin,11,Alexander VII,Pope (Fabio Chigi),"Pope,Bishop of Nardò",51,Kircher,Athanasius,Jesuit (S.J.),Aachen,50.7755,6.0815,1651,0,1,16,,,
