Author,Recipient,Description,Date,Type of document, Place of Repository,Repository,Call Number,Notes, Language,,,,,,,,,,,,,
Alexander VII (Fabio Chigi),"Kircher, Athanasius",Pope Fabio Chigi. Letter to Kircher, 14 February 1648,Letter, Rome, Biblioteca Apostolica Vaticana,BAV Chigi a. I 45  ff. 164r-165v," Notes: Cit. in Cygan ""Valerianus Magni Vita Prima.."" p.266. Worth consulting",,,,,,,,,,,,,,
Alexander VII (Fabio Chigi),"Kircher, Athanasius", Letter to Kircher, 29 May 1648,Draft, Rome, Biblioteca Apostolica Vaticana,BAV Chigi a. I. 45  f. 187v, Notes: Draft. Consulted 16/5/1995,,,,,,,,,,,,,,
Alexander VII (Fabio Chigi),"Kircher, Athanasius", Letter to Kircher, 24 February 1651,Excerpt, Rome, Biblioteca Apostolica Vaticana,BAV Chigi A. I. 8 f. 163r, Notes: Minutes. Original in APUG 556 ff. 43r-44v,,,,,,,,,,,,,,
Alexander VII (Fabio Chigi),"Kircher, Athanasius", Letter to Kircher, 1 April 1651,Excerpt, Rome, Biblioteca Apostolica Vaticana,BAV Chigi A. I. 8  f. 172rv, Notes: Minutes. Original in APUG 556 ff. 37r-38v,,,,,,,,,,,,,,
Alexander VII (Fabio Chigi),"Kircher, Athanasius", Letter to Kircher, 24 June 1651,Excerpt, Rome, Biblioteca Apostolica Vaticana,BAV Chigi A. I. 8 f. 193rv, Notes: Minutes. Original in APUG 556 f. 47rv,,,,,,,,,,,,,,
Athanasius Kircher,"Dal Pozzo, Cassiano",Letter to Cassiano Dal Pozzo, 15 August 1637,, Montpellier, Ecole de Médicine,H268 f. 9rv," Notes: Cited in Anna Nicolo, Il Carteggio di Cassiano dal Pozzo: Catalogo,  Florence: Olschki 1997, p.3",,,,,,,,,,,,,,
"Kircher, Athanasius and Gheringo, Uldarigo","Gonzaga, Ferdinando Giovanni di ",Letter to Gonzaga, 6 December 1659,Letter, Castiglione, Archivio di Castiglione delle Stiviere,"Busta 241, cartella XLIII, no. 13. "," Notes: Italian, signature  Autograph. Cartella labelled: ""Lettere delli PP Olderico Gheringo  et Atanasio Kircher Giesuiti supremo Professore di Matematica. 1659-1670"". Also contains ms. list of Kircher's printed works. Information and photocopy from Guido Rebecchini",Italian,,,,,,,,,,,,,
"Kircher, Athanasius",unknown, Letter to unknown, 7 November 1648,Scribal copy, Berlin," Staatsbibliothek,  Stiftung Preussischer Kulturbesitz","Depot Breslau 17, 611-614", Notes: From Kristeller Iter italicum, Notes: From Kristeller Iter italicum,,,,,,,,,,,,,
"Kircher, Athanasius","Albano, Monsignore"," Letter to Albano, Monsignore", 9 February 1660,Scribal copy,Rome, Biblioteca Apostolica Vaticana,BAV Vat. Lat. 9064 f. 93r-94r," Notes: Copy, Italian, Latin, Greek, Consulted 22.6.1999","Italian,Latin,Greek",,,,,,,,,,,,,
"Kircher, Athanasius",Alexander VII (Fabio Chigi), Letter to Alexander VII (Fabio Chigi), 29 August 1663,Letter,Rome, Biblioteca Apostolica Vaticana,BAV Chigi J. VI. 225 ff. 1r-9v," Notes: Latin, Autograph signature. Consulted 24.6.1999. Cited in Fletcher, AK und…, 152.",Latin,,,,,,,,,,,,,
"Kircher, Athanasius",Alexander VII (Fabio Chigi), Letter to Alexander VII (Fabio Chigi), 28 January 1666,Letter,Rome, Biblioteca Apostolica Vaticana," BAV Chigi,  C.V. 134, inside front cover"," Notes: Cited in Bartòla, Alberto: Alessandro VII e Athanasius Kircher S.I. Ricerche e appunti sulla loro corrispondenza erudita e sulla storia di alcuni codici chigiani. Miscellanea Bibliothecae Apostolicae Vaticanae. 1989; III: 7-105. Consulted. Autograph minutes in APUG 563, f. 303.",,,,,,,,,,,,,,
"Kircher, Athanasius",Alexander VII (Fabio Chigi), Letter to Alexander VII (Fabio Chigi), 27 October 1666,Letter,Rome, Biblioteca Apostolica Vaticana,BAV Chigi J.VI.225 ff. 66r-67v," Notes: Autograph, Latin, Cited in Fletcher, AK und…, p. 152",Latin,,,,,,,,,,,,,
"Kircher, Athanasius",Alexander VII (Fabio Chigi), Letter to Alexander VII (Fabio Chigi), n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus II Pars Altera (1653), p. 497."," Notes: Dedicatory letter for Classis XII. Theosophia Metaphysica seu Theologia Hieroglyphica. Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus II Pars Altera (1653), p. 497.",,,,,,,,,,,,,,
"Kircher, Athanasius",Alexander VII (Fabio Chigi), Letter to Alexander VII (Fabio Chigi), 14 July 1662,Letter,Rome, Biblioteca Apostolica Vaticana,BAV Chigi F IV 48 ff. 1r-11v," Notes: Latin, Greek, Arabic. Scribal hand. Introduction to ""De Compositione Astrolabii (Herimanni)"". Copy in BAV Chigi J. VI. 225, ff. 48r-58v","Latin,Greek,Arabic",,,,,,,,,,,,,
"Kircher, Athanasius",Alexander VII (Fabio Chigi), Letter to Alexander VII (Fabio Chigi), 14 July 1662,Letter,Rome, Biblioteca Apostolica Vaticana,"BAV Chigi J. VI. 225, ff. 48r-58v"," Notes: Latin, Greek, Arabic. Scribal hand. Introduction to ""De Compositione Astrolabii (Herimanni)"". Copy in BAV Chigi F IV 48 ff. 1r-11v","Latin,Greek,Arabic",,,,,,,,,,,,,
"Kircher, Athanasius",Alexander VII (Fabio Chigi), Letter to Alexander VII (Fabio Chigi), 1 June 1666,Printed copy,,,"Published in:  A.K.Obelisci Aegyptiaci nuper inter Isaei Romani rudera effossi Interpretatio Hieroglyphica, rome: Varesi 1666, following titlepage (ff. non-num)."," Notes: Dedicatory letter. Copy used BAV Chigi.I.517 (presentation copy with elaborate gilded red-leather binding bearing Chigi arms), Published in:  A.K.Obelisci Aegyptiaci nuper inter Isaei Romani rudera effossi Interpretatio Hieroglyphica, rome: Varesi 1666, following titlepage (ff. non-num).",,,,,,,,,,,,,,
"Kircher, Athanasius",Alexander VII (Fabio Chigi), Letter to Alexander VII (Fabio Chigi), 28 July 1666,Printed copy,,,"Published in: A. M. Bandini,De obelisco Caesaris Aug. e Campi Martii ruderibus nuper eruto commentarius, rome 1750, p. 102."," Notes: Cit. Fletcher, AK und…, p. 156",,,,,,,,,,,,,,
Alexander VII (Fabio Chigi),"Kircher, Athanasius", Letter to Kircher, 19 June 1639,Printed copy,,,"Published in Athanasius Kircher,  Obelisci Argyptiaci nuper inter Isaei Romani rudera effossi Interpretatio Hieroglyphica,  Rome: Varersi 1666, p. 126."," Notes: Copy used BAV Chigi.I.517 (presentation copy with elaborate gilded red-leather binding bearing Chigi arms), Published in Athanasius Kircher,  Obelisci Argyptiaci nuper inter Isaei Romani rudera effossi Interpretatio Hieroglyphica,  Rome: Varersi 1666, p. 126.",,,,,,,,,,,,,,
"Kircher, Athanasius","Allacci, Leone", Letter to Allacci, 27 November 1654,Letter,Rome, Biblioteca Vallicelliana,Carte Allacci CXLVII ff. 303r-304v," Notes: From Kristeller,  Iter italicum VI,  p. 189a. Consulted 24.6.1999",,,,,,,,,,,,,,
"Kircher, Athanasius","Holstainius, Lucas and Allacci, Leone ", Letter to Holstenius and Allaci, n.d.,Printed copy,,,"Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 550.","Notes: Dedicatory letter for Anacephalaeosis totius operis. Compare ms. sent to Allacci in Biblioteca Vallicelliana,  Carte Allacci CXLVII f. 304rv, Published in: Athanasius Kircher, Oedipus Aegyptiacus, 3 Tom. (in 4 vols.),  Rome: Ex Typographia Vitalis Mascardi,  1652-1654,  Tomus III (1654), p. 550.",,,,,,,,,,,,,,
"Kircher, Athanasius","Almichoven, Theodor", Letter to Almichoven, 2 September 1678,,Munich, Bayerische Staats- und Universitätsbibliothek,Collectio Camerariana Cod. lat. 10383/134," Notes: Cited in Fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 16 July 1659,Scribal copy,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 376," Notes: Copy. Cited in Fletcher ""Kircher and Duke August...""p. 285",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 17 October 1660,Letter,Wolfenbüttel, Herzog August Bibliothek,HAB Ms. Cod. Guelf. 3. 5. Aug. 4o f. 30r-v, Notes: Consulted 12.6.1997. In German.,,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 17 October 1661,,Basel, Öffentliche Bibliothek der Universität,to be checked," Notes: Published in H. A. Langenmantel, Fasciculus…, pp. 26-29. Cited in fletcher, AK und…, p. 152.",German,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 22 July 1662,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 383," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 287",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 22 July 1662,,Basel, Öffentliche Bibliothek der Universität,to be checked," Notes: Published in H. A. Langenmantel, Fasciculus…,  pp. 1-3 (Langenmantel gives as the recipient Lukas Schroek the Elder). Cited in fletcher, AK und…, p. 152.",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 2 September 1662,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 384," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 287",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 15 February 1663,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 385," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 287",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 17 May 1664,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 393," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 288",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 20 June 1664,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 394," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 288",,,,,,,,,,,,,,
"Kircher, Athanasius","Anckel,  Johann Georg", Letter to Anckel, 5 July 1664,Letter,Wolfenbüttel, Herzog August Bibliothek - Bibliotheksarchiv,HAB BA n. 395," Notes: Cited in Fletcher ""Kircher and Duke August...""p. 287",,,,,,,,,,,,,,
