other_links.entity_id,Full Name,Full name (vernacular),First name,Last name,Title (same as alias?),Alias,VIAF ID,Old Occupation data from Kircher DB,expertise/interests,expertise/interests major fields,office/position,Communities,Religion,Gender,Language(s),Published/circulated author?,Publication details,Spouse Name,"Location born (city, country)",birthdate,"Location died (city, country)",deathdate,Biographical notes,comments
46695.0,"Albergati, Fabio",Fabio Albergati,Fabio,Albergati,,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,italian:1,Yes,La republica regia (1627); Discorsi politici del signor Fabio Albergati: ne i quali viena riprouata la dottrina politica di Gio. Bodino e difesa quella d'Aristotile (1664),,,,,,,
46696.0,"Alexander VII, Pope (Fabio Chigi)",Pope (Fabio Chigi) Alexander VII,Pope (Fabio Chigi),Alexander VII,,Pope,,"Pope,Bishop of Nard",poetry,poetry,"pope,bishop","clergy,church_official",Catholic,male,latin:24;italian:2,Yes,"Philomathi Labores Juveniles, 1656",,"Siena, Italy",1599-02-13,"Rome, Italy",1667-05-22,,
46697.0,"Asquier, Michele d'",Michele d' Asquier,Michele d',Asquier,"Imperial Interpreter, Bibliophile",,,scholar,,,interpreter,professional,Catholic,male,italian:1,,,,,,,,"Catholic? What does ""bibliophile"" mean? Can we be more specific about his type of knowledge?",
46698.0,"August, Duke of Braunschweig-Lüneburg",Duke of Braunschweig-Lüneburg August,Duke of Braunschweig-Lüneburg,August,,Duke of Braunschweig-L?neburg,,Duke of Braunschweig-L,,,duke,titled_nobility,Protestant,male,latin:3;german:16,,,,,,,,,
46699.0,"Boncompagni, Girolamo",Girolamo Boncompagni,Girolamo,Boncompagni,,Cardinal,,Cardinal,,,cardinal,"church_official,clergy",Catholic,male,italian:1,Yes,"[Titre manquant], 1665.",,,,,,,
46700.0,"Peñaranda (Guzmán) de Bracamonte, Gaspar de",Gaspar de Peñaranda (Guzmán) de Bracamonte,Gaspar de,Peñaranda (Guzmán) de Bracamonte,Viceroy of Naples,Count of Pe?aranda,,Count of Pe,,,"count,viceroy,diplomat","titled_nobility,secular_official",Catholic,male,spanish:1,,,,,1595.0,,1676.0,Represented Spain at Peace of Westphalia negotiations,
46701.0,"Brancacci, Francesco Maria",Francesco Maria Brancacci,Francesco Maria,Brancacci,,Cardinal,5.1853031E7,Cardinal,"church history,apology,hagiography",religious/morality,cardinal,"church_official,clergy",Catholic,male,italian:8;latin:2,Yes,"Nuova cronologia dei papi, 1895; Francisci Mariæ Episcopi Portuensis, Cardinalis Brancatii dissertationes, 1672; De Sinensium ritibus politicis acta: seu R. P. Francisci Brancati, Societatis Jesu, apud Sinas per annos 34 missionarii, responsio apologetica ad R. P. Dominicum Navarrette ordinis praedicatorum, 1700;  Relatio facta in Consistorio secreto coram Gregorio Papa XV.: Super Vita, Sanctitatae, actis Canonizationis, [et] miraculis beati Ignatii Fundatoris Societatis Jesu, 1622",,"Canneto, Italy",1592.0,Rome,1675.0,,
46702.0,"Caramuel Lobkowic, Juan",Juan Caramuel Lobkowic,Juan,Caramuel Lobkowic,,abbot,,"Cistercian (O. Cist.),Bishop of Kempten,Benedictine (O.S.B.)","theology,mathematics,languages,orientalism,astronomy,poetry,architecture","poetry,natural philosophy,history/classical scholarship,languages,religious/morality,other","abbot,benedictine,bishop,cistercian","clergy,church_official,titled_nobility",Catholic,male,latin:17;kircher's_universal_language:2;spanish:1;italian:2;german:1;czech:1;french:1;arabic:1;hebrew:1,Yes,"Theologia moralis, fundamentalis, praeterintentionalis, decalogica, sacramentalis, canonica, regularis, civilis, militaris, 1652; Philippvs Prvdens Caroli v. imp. filivs, Lvsitaniæ, Algarbiæ, Indiæ, Brasiliæ legitimvs rex demonstratvs, 1639; Praecursor logicus complectens grammaticam audacem: reimpresio_n de la edicio_n Frankfurt, 1654; _Al ha-ate_izm shel ha-rabanim, 2005; Syntagma de arte typographica, 2004. ",,,,,,,
46703.0,"Leyen, Karl Kaspar von der",Karl Kaspar von der Leyen,Karl Kaspar von der,Leyen,,Elector of Trier,4.2186416E7,Elector of Trier,,,"elector,archbishop","church_official,titled_nobility,clergy",Catholic,male,latin:1 ,,,,,1618-12-18,,1676-06-01,,
46705.0,"Christian August, Duke of Schleswig-Holstein",Duke of Schleswig-Holstein Christian August,Duke of Schleswig-Holstein,Christian August,,Duke of Schleswig-Holstein,,Duke of Schleswig-Holstein,,,duke,titled_nobility,Protestant,male,italian:8;latin:1,,,,,,,,,
