other_links.entity_id	Full Name	Full name (vernacular)	First name	Last name	Title (same as alias?)	Alias	VIAF ID	Old Occupation data from Kircher DB	expertise/interests	expertise/interests major fields	Networks	office/position	Communities	Religion	Gender	Language(s)	Published/circulated author?	Publication details	Spouse Name	Location born (city, country)	birthdate	Location died (city, country)	deathdate	Biographical notes	comments
46739.0	Nardi, Filippo	Filippo Nardi	Filippo	Nardi		son of Giovanni Nardi									male	italian:1	Yes	 Noctes geniales, 1656.						what kind of book is this? Is he the editor?	
46778.0	Panaioti, Nicasio	Nicasio Panaioti	Nicasio	Panaioti		Panaiotti		interpreter				interpreter	professional		male	italian:1									
46827.0	Delmona, Carbone	Carbone Delmona	Carbone	Delmona	unreadable										male	italian:1									
46844.0	Salaresco, [unidentified]	[unidentified] Salaresco	[unidentified]	Salaresco	unreadable										male	italian:1									
46868.0	Allestree, James	James Allestree	James	Allestree								book seller	professional		male	italian:1				England				what kind of scholar?	http://books.google.cz/books?id=EDCR46Ov_FQC&pg=PA33&dq=James+Allestree+Rome&hl=cs&sa=X&ei=jlYwT9HZCs2DhQfk0vj_BA&ved=0CC8Q6AEwAA#v=onepage&q=James%20Allestree%20Rome&f=false
46872.0	Ambsterbach, Johann	Johann Ambsterbach	Johann	Ambsterbach											male	latin:1								It is a different name but I am not able to read it in Luna	
46875.0	Andreas, Alexander	Alexander Andreas	Alexander	Andreas											male	latin:2									
46886.0	Auria, Cristoforo	Cristoforo Auria	Cristoforo	Auria		Christophorus de Auria									male	latin:1									
46888.0	Aziccio, Giovanni	Giovanni Aziccio	Giovanni	Aziccio		Joannes Azzicio									male	latin:3									
46892.0	Ballone, Baldassare	Baldassare Ballone	Baldassare	Ballone											male	italian:1									
46893.0	Balthasar, Johann	Johann Balthasar	Johann	Balthasar											male	latin:1;italian:1									
46901.0	Beauchamps, Chevalier de	Chevalier de Beauchamps	Chevalier de	Beauchamps								chevalier	titled_nobility		male	italian:6 									
46910.0		Matthias Bernhardi	Matthias	Bernhardi								pastor			male	latin:1								I believe he is the same person as Martin Bernitz as he is signed as Royal medicus!	
46920.0	Biesenrodt, Hermann von	Hermann von Biesenrodt	Hermann von	Biesenrodt				member of Fruitbearing Society							male	latin:1		Hannß Hermann von Biesenrod, Der Geistliche gestirnte Kirchen-Himmel/ Wie er In den Worten Christi Joh. 3. v. 16. sich zeiget Und Bey der letzten Ehrerweisung Des ... Hn. Hannß Hermann von Biesenrodts/ HochFu_rstl. Sa_chs. Creyß- und Ambts-Hauptmanns zu Ju_terbog und Dahm/ Wie auch des Ju_terbogischen Creyses Directoris, In einer o_ffentlichen Geda_chtniß-Predigt vorgetragen/ Dahm/ den 26. Iunii des 1698sten Jahres.							
46923.0	Bindi, Giambattista	Giambattista Bindi	Giambattista	Bindi					medicine	natural philosophy	natural philosophy	physician	professional		male	latin:1								Is he a physician?	
46924.0	Blaew, Hans	Hans Blaew	Hans	Blaew	different last name Black?										male	latin:1									
46927.0	Bockelmann, Daniel	Daniel Bockelmann	Daniel	Bockelmann		Bockelman						priest	clergy		male	latin:1								priest in Wijhe. I assume Protestant or convert. 	
46931.0	Bollius, Johannes	Johannes Bollius	Johannes	Bollius											male	latin:1								Dutch protestant?	
46940.0	Brignone, Niccolò	Niccolò Brignone	Niccolò	Brignone											male	italian:1									
46946.0	Buonamici, Giovanni Francesco	Giovanni Francesco Buonamici	Giovanni Francesco	Buonamici				physician	medicine	natural philosophy	natural philosophy	physician	professional		male	latin:2									
46961.0	Carmroth, Andreas	Andreas Carmroth	Andreas	Carmroth											male	latin:1									
46965.0	Castellas, Juan de	Juan de Castellas	Juan de	Castellas											male	spanish:1									
46976.0		Marquis de Charleval		Charleval		Jean-Louis Faucon, Chargerath									male	french:1									
46977.0	Charpentier, François	François Charpentier	François	Charpentier			2.9562037E7	archaeologist and man of letters	archeology,classical scholarship	history/classical scholarship	history/classical scholarship		professional		male		Yes	Vie de Socrate, 1650; Cyropaedia of Xenophon, 1658 (trans); Traité de la peinture parlante, 1684.		French	1620-2-15		1702-0-0	I would say Catholic	
46985.0	Clengel, Wolfgang Kaspar	Wolfgang Kaspar Clengel	Wolfgang Kaspar	Clengel		Wolf Caspar von Klengel			architecture	other	other	architect	professional		male	italian:3 				Dresden, Germany	1630-6-8	Dresden, Germany	1691-1-10		
46986.0	Coccia, Giuseppe	Giuseppe Coccia	Giuseppe	Coccia											male	italian:5;latin:1 									
46993.0	Cools van Tetrode, Lodewijk	Lodewijk Cools van Tetrode	Lodewijk	Cools van Tetrode											male	latin:1									
46997.0	Costa, Carlo Costanzo	Carlo Costanzo Costa	Carlo Costanzo	Costa											male	italian:1	Yes	L'astrologo non astrologo, e gl'amori stvrbati; comedia del dottor Ottone Lazaro Scacco [pseud.]. Genova: Per P.G. Calezani ad instanza di G. e G. Andreoli, 1665.							
47017.0	Dorrigato, Niccolò	Niccolò Dorrigato	Niccolò	Dorrigato											male	italian:1									
47021.0	Durando, Salvatore	Salvatore Durando	Salvatore	Durando											male	hebrew:1									
47022.0	Durante, Vincenzo	Vincenzo Durante	Vincenzo	Durante											male	italian:4									
47023.0	Ederi, Tomasso	Tomasso Ederi	Tomasso	Ederi											male	italian:1									
47028.0	Emertz, Christoph	Christoph Emertz	Christoph	Emertz											male	latin:1									
