other_links.entity_id,Full name (vernacular),First name,Last name,Full name,VIAF ID,Title (same as alias?),Alias,Old Occupation data from Kircher DB,expertise/interests,expertise/interests major fields,office/position,Communities,Religion,Gender,Language(s),Published/circulated author?,Publication details,Spouse Name,"Location born (city, country)",birthdate,"Location died (city, country)",deathdate,Biographical notes,comments
46982,[unidentified] Christoph,[unidentified],Christoph,"Christoph, [unidentified]",,,,Benedictine (O.S.B.),,,benedictine,clergy,Catholic,male,latin:1,,,,,,,,,
47583,[unidentified] Ferrari,[unidentified],Ferrari,"Ferrari, [unidentified]",,,,,,,,,,male,italian:1,,,,,,,,,
47624,[unidentified] Gusmans,[unidentified],Gusmans,"Gusmans, [unidentified]",,,Luis Gusman?,,,,,,,male,latin:1,,,,,,,,,
47287,[unidentified] Pavias,[unidentified],Pavias,"Pavias, [unidentified]",,,,,,,,,,,italian:1,,,,,,,,,
46844,[unidentified] Salaresco,[unidentified],Salaresco,"Salaresco, [unidentified]",,unreadable,,,,,,,,male,italian:1,,,,,,,,,
47485,Abraham von Frankenberg,Abraham von,Frankenberg,"Frankenberg, Abraham von",32073892,,"Franckenberg, Amadeus von Friedleben","mystic, author, poet, hymn-writer","mysticism,poetry,hymns","religious/morality,poetry",,professional,Protestant,male,latin:7,Yes,,,"Bystre, Poland",1593-6-24,"Bystre, Poland",1652-6-25,,
47147,Adam Adamandus Kochanski,Adam Adamandus,Kochanski,"Kochanski, Adam Adamandus",40198674,,,Jesuit (S.J.),mathematics,natural philosophy,jesuit,clergy,Catholic,male,"latin,italian:1;latin:9",Yes,Opuscula. Cz. 1-3,,"Dobrzy_, Poland",1631,"Teplice v _echách, Czech Republic",1700,,
46863,Adam Aigenler,Adam,Aigenler,"Aigenler, Adam",,,,Jesuit (S.J.),"languages,hebrew,astronomy,geography","languages,natural philosophy,other",jesuit,clergy,Catholic,male,latin:4,Yes,"Tabulae duodecim fvndamenta lingvae sanctae: Una_ cum Exercitatione Grammatica in Psal. XXXIII. & Lexico Hebraico-Latino Brevi Et Clara Methodo Complexae = Lu_h_o_t i'b'. Dilingae: formis Academicis, apud Joannem Federle, 1670; Tabvla [Tabula] geographico-horologa universalis: problematis cosmographicis, astronomicis, geographicis, gnomonicis, geometricis illustrata et vnacvm succincta methodo qvaslibet mappas geographicas delineandi. Ingolstadii: Ostermayr, 1668 (diss).",,,,,,,
47140,Adam Kalckhoven,Adam,Kalckhoven,"Kalckhoven, Adam",,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,latin:1,,,,,,,,,
47362,Adam Schirmbeck,Adam,Schirmbeck,"Schirmbeck, Adam",,,,Jesuit (S.J.),theater,other,jesuit,clergy,Catholic,male,latin:1,Yes,"Hercules Atlanti suffectus, Monachii 1651. Abfall vnd Widerkehr Zu Dem Creutz Christi Eines Egyptischen heiligen Ju_nglings, dessen Namen vnbekandt, 1651. Nabvchodonosor, Monachii 1635.",,,,,,playwright,
47284,Adrien de Parvilliers,Adrien de,Parvilliers,"Parvilliers, Adrien de",,,,Jesuit (S.J.),,religious/morality,jesuit,clergy,Catholic,male,"latin,french,arabic:1;french:1",Yes,"La De_votion des pre_destine_s, ou les Stations de la Passion de Je_sus-Christ crucifie_, Paris 1609.",,,,,,,
47059,Aegidius Gelenius,Aegidius,Gelenius,"Gelenius, Aegidius",,,,"historian, auditor of Cologne nunciatur, auxiliary bishop of Osnabr","history,church history,hagiography","history/classical scholarship,religious/morality","auditor,bishop","clergy,church_official",Catholic,male,latin:1,Yes,"Preciosa hierotheca: duodecim unionibus Coloniensis historiae exornata. 1634; Gelenius, Aegidius, and Baltasar a Mulheim. De Admiranda, Sacra, Et Civili Magnitudine Coloniae Claudiae Agrippinensis Augustae Ubiorum Urbis. Libri IV.: I. Ubiorum originem, Historiam, vetustatem, & venustatem, explicat. II. Insignia & Ortum Ubiae & Rhenanae Nobilitatis ... III. Urbis est Sacrarium, proferens ecclesiarum fundationes, incrementa, Sacrum Thesaurum ... IV. Sacros & pios Fastos ad Martyrologii formam digestos. Coloniae Agrippinae: Kalcovius, 1645; Vindex libertatis ecclesiasticae et martyr S. Engelbertus archiepiscopus. 1633. ",,,,,,,
47040,Agostino Favoriti,Agostino,Favoriti,"Favoriti, Agostino",,,,"Secretary to Pope Innocent XI, scholar",poetry,poetry,secretary,secular_official,Catholic,male,italian:1,Yes,"Cesarini, Virginio, Agostino Favoriti, Ferdinand von Fu_rstenberg, Stjepan Gradic_, Alexander Pollinus, Natalis Rondininus, Johann Rodger Torck, Balthasar Moretus, and Alexander. Septem illvstrivm virorvm poemata. Antverpiae: Ex Officina plantiniana Balthasaris Moreti, 1662 (poem).",,,,,,"member of ""Pleias Alexandrina,"" an international group of Latin poets whose poetry appeared under the auspices of pope Alexander VII",
46978,Aimé Chézaud,Aimé,Chézaud,"Chézaud, Aimé",,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,"latin:10;arabic:1;latin,arabic:1;italian:1",,,,,,,,,
47424,Albert (Wojciech) Tylkowski,Albert (Wojciech),Tylkowski,"Tylkowski, Albert (Wojciech)",,,,Jesuit (S.J.),natural philosophy,natural philosophy,jesuit,clergy,Catholic,male,latin:3;italian:2,Yes,"Meteorologia curiosa, etc., Cracoviae 1669. Disquisitio physica, ostenti duorum puerorum quorum unus cum dento aureo, alter cum capite gyganteo Vilnae in Lithuania... spectabatur anno... 1673, Olivae 1674.",,,,,,,
47272,Albert d' Orville,Albert d',Orville,"Orville, Albert d'",8816595,,Dorville,Jesuit (S.J.),travel/exploration,travel/exploration,jesuit,clergy,Catholic,male,latin:1,,,,"Brussels, Belgium",1621-8-12,"Agra, India",1662-5-8,missionary in China,
